Название;Раздел;Цена, ₽;Наличие;Артикул;Архивирована;Адрес;Фото;Фото в архиве;Описание (знаков);Артикул:;Потребление;Значения хешрейта;Окупаемость;Доходность;Артикул для заказа;Объем памяти;Тип памяти;Артикул для заказа:;Доходность обновлена:;Графический процессор (Чип);Объем видеопамяти;Графический процессор;Алгоритм хеширования;?Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;Энергоэффективность W / MH;?Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Стоимость 1 MH/s в руб.;Интерфейс памяти;Частота памяти;Максимальное разрешение;Выход HDMI;Видеовыходы;Количество ядер CUDA®;Частота процессора;Производитель;OpenGL;Рекомендуемая мощность БП;Поддержка SLI/CrossFire;Поддержка мониторов;Техпроцесс;Количество занимаемых слотов;Сообщение;Возможна покупка с НДС;Вес, кг;Размер, мм;Поддержка водяного охлаждения;? Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;? Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Энергопотребление, W;Low Hash Rate (LHR);Производитель видеопроцессора (видеокарта);Интерфейс (видеокарта);За 30 дней;Гарантия, мес.;Артикул;Серия (видеокарта);Кодовое название графического процессора (видеокарта)
Блок питания Zumax 1850W;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;11875.0;InStock;7609;2022-01-23;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_zumax_1850w/;https://miningshop.ru/upload/resize_cache/webp/upload/iblock/e06/y4gv1o26dml8j95rbin031h024bglo0r.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/4ef/fzm10hwp5icrkhkwkryyuu02032emx4g.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/7f2/zivyd0jiz2b0vmaaswjb8bel27zjpbil.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/2e6/fyfhb9vzwjjxtrd0hszcyq8zmuwrvulm.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/602/d3kmpz9su5fqk0zhar32xlgwym3j4crj.webp;;0;ZU-1850W;;;;;7609;;;7609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет;;;;;;;
Блок Питания New model R-Senda SD-1600W-1 16AWG, 1600W Mining PSU all cabels 16AWG, 8pin(4+4pin)*1pc, 24pin*1pc, 6+2pin*12pcs +15cm, sata*8pcs, molex*6pcs, Efficiency:90% , White box {6};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 6 GPU Видеокарт / Блок питания для майнинг-фермы на 6 GPU Видеокарт;5400.0;OutOfStock;5154;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_6_gpu_videokart/blok_pitaniyanew_model_r_senda_sd_1600w_1_16awg_1600w_mining_psu_all_cabels_16awg_8pin_4_4pin_1pc_24/;https://miningshop.ru/upload/iblock/594/594162aa28a59fcab6ba8c12720c97f3.jpg;;186;New SD-1600W-1 16AWG;;;;;5154;;;5154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок Питания SeaSonic PRIME 1300 Platinum SSR-1300PD Active;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 8 GPU Видеокарт / Блок питания для майнинг-фермы на 8 GPU Видеокарт;30000.0;OutOfStock;5223;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_8_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_8_gpu_videokart/blok_pitaniya_seasonic_prime_1300_platinum_ssr_1300pd_active/;https://miningshop.ru/upload/iblock/ca1/ca1c4689a96c82790f2c1bbaa969a3ee.JPG https://miningshop.ru/upload/iblock/f00/f00c17a0cbdb86ba9ed066b7f6ea556a.JPG https://miningshop.ru/upload/iblock/461/46174941d54cf55ffbddf0f228fe63b4.JPG https://miningshop.ru/upload/iblock/19d/19d616a447ba850159a67efdfc054199.JPG https://miningshop.ru/upload/iblock/018/01899608a3eb0ebb55536db34adf1853.JPG https://miningshop.ru/upload/iblock/589/58958c1a039b075ac63769bf60a7e23d.JPG https://miningshop.ru/upload/iblock/91d/91d58253602c04e97acd018c49a95f7a.JPG https://miningshop.ru/upload/iblock/4c5/4c5bd151ed122995fcf04e296822b8d4.jpg;mirror/upload/resize_cache/iblock/f00/400_400_140cd750bba9870f18aada2478b24840a/f00c17a0cbdb86ba9ed066b7f6ea556a.JPG mirror/upload/resize_cache/iblock/461/400_400_140cd750bba9870f18aada2478b24840a/46174941d54cf55ffbddf0f228fe63b4.JPG mirror/upload/resize_cache/iblock/19d/400_400_140cd750bba9870f18aada2478b24840a/19d616a447ba850159a67efdfc054199.JPG mirror/upload/resize_cache/iblock/018/400_400_140cd750bba9870f18aada2478b24840a/01899608a3eb0ebb55536db34adf1853.JPG;2818;SSR-1300PD;;;;;5223;;;5223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Блок Питания Segotep SG-2000W 2000W Mining PSU for ASIC overclock mode, Connector:, 6pin *10pcs, OEM {5};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 8 GPU Видеокарт / Блок питания для майнинг-фермы на 8 GPU Видеокарт;10700.0;OutOfStock;5176;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_8_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_8_gpu_videokart/blok_pitaniya_segotep_sg_2000w_2000w_mining_psu_for_asic_overclock_mode_connector_6pin_10pcs_oem_5/;https://miningshop.ru/upload/iblock/916/916cc06887773b96105f778f758deac7.jpg;;104;SG-2000W;;;;;5176;;;5176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colorful C.A68M-BTC YV14, 1xPCI-Ex16, 7xPCI-Ex1, Socket FM2/FM2+, 2 DDR3 ,RTL;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 8 GPU Видеокарт / Материнская плата для майнинг-фермы на 8 GPU Видеокарт;3480.0;OutOfStock;5138;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_8_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_8_gpu_videokart/colorful_c_a68m_btc_yv14_1xpci_ex16_7xpci_ex1_socket_fm2_fm2_2_ddr3_rtl/;https://miningshop.ru/upload/iblock/b9c/b9ced9eb4705d07e27be62cdd3fcca6b.jpg https://miningshop.ru/upload/iblock/9d3/9d38f6b822138206502ad33cafaa8008.jpg;mirror/upload/resize_cache/iblock/9d3/400_400_140cd750bba9870f18aada2478b24840a/9d38f6b822138206502ad33cafaa8008.jpg;2054;C.A68M-BTC YV14;;;;;5138;;;5138;;;;;;;;;;;;;;;;;COLORFUL;;;;;;;;;;;;;;;;;;;;;;
Colorful C.B250A-BTC DELUXE YV20 OEM;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 8 GPU Видеокарт / Материнская плата для майнинг-фермы на 8 GPU Видеокарт;5280.0;OutOfStock;5143;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_8_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_8_gpu_videokart/colorful_c_b250a_btc_deluxe_yv20_oem_/;https://miningshop.ru/upload/iblock/8d0/8d023e87ece65923badcd356cdcf5ec6.jpg;;0;C.B250A-BTC DELUXE YV20;;;;;5143;;;5143;;;;;;;;;;;;;;;;;COLORFUL;;;;;;;;;;;;;;;;;;;;;;
Colorful C.B250A-BTC PLUS YV20 OEM;Каталог / Комплектующие / Комплектующие для майнинг-фермы на 8 GPU Видеокарт / Материнская плата для майнинг-фермы на 8 GPU Видеокарт;4980.0;OutOfStock;5144;2021-10-27;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_8_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_8_gpu_videokart/colorful_c_b250a_btc_plus_yv20_oem/;https://miningshop.ru/upload/iblock/094/094da797b399d3946f1aaa5ed2eb26b6.jpg;;0;C.B250A-BTC PLUS YV20;;;;;5144;;;5144;;;;;;;;;;;;;;;;;COLORFUL;;;;;;;;;;;;;;;;;;;;;;
Esonic HM76-BTC-COMBO + (P2) Pentium B950 in socket плата для майнинга на 8+ GPU, 1xPCI-Ex16, 7xPCI-Ex1, w/o LGA775 cooler, RTL {20};Каталог / Комплектующие / Комплектующие для майнинг-фермы на 8 GPU Видеокарт / Материнская плата для майнинг-фермы на 8 GPU Видеокарт;12400.0;OutOfStock;5137;2021-10-20;https://miningshop.ru/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_8_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_8_gpu_videokart/esonic_hm76_btc_combo_p2_pentium_b950_in_socket_plata_dlya_mayninga_na_8_gpu_1xpci_ex16_7xpci_ex1_w_/;https://miningshop.ru/upload/iblock/c97/c97c0c218a9db2f7f344597f9d795a01.jpg https://miningshop.ru/upload/iblock/8bf/8bf432d5a10fcfa3d5bc79426addf1c0.jpg;mirror/upload/resize_cache/iblock/8bf/400_400_140cd750bba9870f18aada2478b24840a/8bf432d5a10fcfa3d5bc79426addf1c0.jpg;2543;HM76-BTC-COMBO + CPU B950;;;;;5137;;;5137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Контрольная плата Antminer T17;Каталог / Комплектующие;14000.0;InStock;Цена;2025-07-20;https://miningshop.ru/catalog/komplektuyushchie/kontrolnaya_plata_antminer_t17/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Корпус закрытый с разделением воздушных потоков на 12 ЕКБ;Каталог / Комплектующие / Корпуса и каркасы;;Ожидаем поставку;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/korpus_zakrytyy_s_razdeleniem_vozdushnykh_potokov_na_12_ekb/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Решетка для кулера (закрытый каркас);Каталог / Комплектующие / Корпуса и каркасы;260.0;InStock;Цена;2025-09-10;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/reshetka_dlya_kulera_zakrytyy_karkas/;https://miningshop.ru/upload/iblock/2a0/0j371cwivjn3srn4auwcx83q657nphy8/QumxVogVwhxeb88g23MV5b6hLOaDcqJJGiN1S5Bv9pUoC0kj6QFPNeszgUX3qzWNcJy82baXvCm5CEj3dkE16RZB.jpg;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тушка в закрытом корпусе с разделением потоков без видеокарт;Каталог / Комплектующие / Корпуса и каркасы;45500.0;InStock;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/tushka_v_zakrytom_korpuse_s_razdeleniem_potokov_bez_videokart/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Закрытый корпус на 12 видеокарт (Обычный);Каталог / Комплектующие / Корпуса и каркасы;3500.0;InStock;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zakrytyy_korpus_na_12_videokart_obychnyy/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Закрытый корпус на 12 видеокарт с разделением потоков воздуха;Каталог / Комплектующие / Корпуса и каркасы;10500.0;InStock;Цена;2025-09-10;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zakrytyy_korpus_na_12_videokart_s_razdeleniem_potokov_vozdukha/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Закрытый корпус на 6 видеокарт (Обычный);Каталог / Комплектующие / Корпуса и каркасы;2600.0;InStock;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zakrytyy_korpus_na_6_videokart_obychnyy/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Закрытый корпус на 8 (бычный);Каталог / Комплектующие / Корпуса и каркасы;3000.0;InStock;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zakrytyy_korpus_na_8_bychnyy/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Закрытый корпус на 8 видеокарт с разделением потоков воздуха V2;Каталог / Комплектующие / Корпуса и каркасы;;Ожидаем поставку;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zakrytyy_korpus_na_8_videokart_s_razdeleniem_potokov_vozdukha_v2/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Закрытый корпус с разделением потоков на 12 видеокарт BIG V2 (Белый);Каталог / Комплектующие / Корпуса и каркасы;9100.0;InStock;Цена;2025-10-08;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zakrytyy_korpus_s_razdeleniem_potokov_na_12_videokart_big_v2_belyy/;https://miningshop.ru/upload/iblock/217/5x6kzz86um0t77w2mw9r4wzeardqty4c/Безымянный1.png https://miningshop.ru/upload/iblock/0fa/5qsu39wzvxmvoxwpfdafla32hamr2v23/Безымянный.png https://miningshop.ru/upload/iblock/402/p5oubbui0zoq6w4wxc9b0yqh5ydbagan/Безымянный3.png https://miningshop.ru/upload/iblock/217/5x6kzz86um0t77w2mw9r4wzeardqty4c/%25D0%2591%25D0%25B5%25D0%25B7%25D1%258B%25D0%25BC%25D1%258F%25D0%25BD%25D0%25BD%25D1%258B%25D0%25B91.png;mirror/upload/resize_cache/iblock/0fa/5qsu39wzvxmvoxwpfdafla32hamr2v23/400_400_140cd750bba9870f18aada2478b24840a/Безымянный.png mirror/upload/resize_cache/iblock/402/p5oubbui0zoq6w4wxc9b0yqh5ydbagan/400_400_140cd750bba9870f18aada2478b24840a/Безымянный3.png;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Закрытый корпус с разделением потоков на 8 видеокарт V2 (Белый);Каталог / Комплектующие / Корпуса и каркасы;8200.0;InStock;Цена;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zakrytyy_korpus_s_razdeleniem_potokov_na_8_videokart_v2_belyy/;https://miningshop.ru/upload/iblock/33d/r8afxre35w8oozsi8lfod7jkdnb51p0i/Безымянный1.png https://miningshop.ru/upload/iblock/244/cfu401q9r14kogprplcayz76lrcj26p6/Безымянный2.png https://miningshop.ru/upload/iblock/33d/r8afxre35w8oozsi8lfod7jkdnb51p0i/%25D0%2591%25D0%25B5%25D0%25B7%25D1%258B%25D0%25BC%25D1%258F%25D0%25BD%25D0%25BD%25D1%258B%25D0%25B91.png;mirror/upload/resize_cache/iblock/244/cfu401q9r14kogprplcayz76lrcj26p6/400_400_140cd750bba9870f18aada2478b24840a/Безымянный2.png;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Зонт вытяжной для корпуса с разделением потоков на 8 видеокарт V2;Каталог / Комплектующие / Корпуса и каркасы;3500.0;InStock;Цена;2025-09-11;https://miningshop.ru/catalog/komplektuyushchie/korpusa_i_karkasy/zont_vytyazhnoy_dlya_korpusa_s_razdeleniem_potokov_na_8_videokart_v2/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Коса для оригинального блока питания Bitmain;Каталог / Комплектующие;400.0;OutOfStock;Цена;2023-06-26;https://miningshop.ru/catalog/komplektuyushchie/kosa_dlya_originalnogo_bloka_pitaniya_bitmain/;;;0;;;;;;29512;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет;;;;;;;;;;;;;;
Крепление для 2-X SSD Sellerweb (серый);Каталог / Комплектующие;80.0;InStock;Цена;2025-07-20;https://miningshop.ru/catalog/komplektuyushchie/kreplenie_dlya_2_x_ssd_sellerweb_seryy/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Крепление для SSD Sellerweb (черный);Каталог / Комплектующие;80.0;InStock;Цена;2026-01-19;https://miningshop.ru/catalog/komplektuyushchie/kreplenie_dlya_ssd_sellerweb_chernyy/;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кулер для процессора (Китай);Каталог / Комплектующие;130.0;OutOfStock;Цена;2023-06-27;https://miningshop.ru/catalog/komplektuyushchie/kuler_dlya_protsessora_kitay/;https://miningshop.ru/upload/iblock/5bd/uaisegtcd2pwkyfi0k3xsrw38w53mmhc/0225494_1.jpg;;0;;;;;;21253;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет;;;;;;;;;;;;;;
Материнская плата ASRock Fatal1ty B450 Gaming K4;Каталог / Комплектующие;5900.0;InStock;6046;2025-04-17;https://miningshop.ru/catalog/komplektuyushchie/materinskaya_plata_asrock_fatal1ty_b450_gaming_k4/;https://miningshop.ru/upload/iblock/2b6/2b6f0b4c35e4903127485e5856b38aa7.png https://miningshop.ru/upload/iblock/0b5/pyl6k685v2sz6xcg75u9em2sbvptenhh.png https://miningshop.ru/upload/iblock/263/e2a3yxvowmz2n9zda506mfz0ubzltv42.png https://miningshop.ru/upload/iblock/57c/27fhcejz2sqb1sm1yt9kyo0dzlbjyqc1.png https://miningshop.ru/upload/iblock/db0/vjf6qv3zdwbjhhoysejki0zgl93c9xy1.png https://miningshop.ru/upload/iblock/301/eqzm04x8ck8ls3zjorh7to32xjp34eis.png https://miningshop.ru/upload/iblock/b05/2yn01p7kdyy0lrhbvr7jkbp9wgjpvtju.png;mirror/upload/resize_cache/iblock/0b5/400_400_140cd750bba9870f18aada2478b24840a/pyl6k685v2sz6xcg75u9em2sbvptenhh.png mirror/upload/resize_cache/iblock/263/400_400_140cd750bba9870f18aada2478b24840a/e2a3yxvowmz2n9zda506mfz0ubzltv42.png mirror/upload/resize_cache/iblock/57c/400_400_140cd750bba9870f18aada2478b24840a/27fhcejz2sqb1sm1yt9kyo0dzlbjyqc1.png mirror/upload/resize_cache/iblock/db0/400_400_140cd750bba9870f18aada2478b24840a/vjf6qv3zdwbjhhoysejki0zgl93c9xy1.png;0;6046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Материнская плата ASRock H110 Pro BTC+;Каталог / Комплектующие;9500.0;OutOfStock;7461;2023-06-26;https://miningshop.ru/catalog/komplektuyushchie/materinskaya_plata_asrock_h110_pro_btc/;https://miningshop.ru/upload/iblock/d2c/66z0r3zloqk3rhkutn6n2awu4lsdy0dx.jpg https://miningshop.ru/upload/iblock/185/mv6ld194mn0vkn5rnzika8vm0it1n7vv.jpg https://miningshop.ru/upload/iblock/c50/5vsmyi61qwfd25w2ol3f6pgo2gem8u8z.jpg https://miningshop.ru/upload/iblock/fb8/leaxkohnszslq75rillc6fmrs5bcldbs.jpg https://miningshop.ru/upload/iblock/2d6/kqv543vg2kruhhd0n0fyjzrnhr0bng2e.jpg;mirror/upload/iblock/d2c/66z0r3zloqk3rhkutn6n2awu4lsdy0dx.jpg mirror/upload/iblock/185/mv6ld194mn0vkn5rnzika8vm0it1n7vv.jpg mirror/upload/resize_cache/iblock/c50/400_400_140cd750bba9870f18aada2478b24840a/5vsmyi61qwfd25w2ol3f6pgo2gem8u8z.jpg mirror/upload/resize_cache/iblock/fb8/400_400_140cd750bba9870f18aada2478b24840a/leaxkohnszslq75rillc6fmrs5bcldbs.jpg mirror/upload/resize_cache/iblock/2d6/400_400_140cd750bba9870f18aada2478b24840a/kqv543vg2kruhhd0n0fyjzrnhr0bng2e.jpg;2656;7461;;;;;7461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Материнская плата B250 BTC-12P;Каталог / Комплектующие;8900.0;OutOfStock;8265;2023-06-26;https://miningshop.ru/catalog/komplektuyushchie/materinskaya_plata_b250_btc_12p/;https://miningshop.ru/upload/iblock/3fc/o3tpi9921wm0ujx0sakwx7j5xflkth55.jpg https://miningshop.ru/upload/iblock/526/0d8di0j54sp5ezdsxhubxnuu5v1o8sfm.jpg https://miningshop.ru/upload/iblock/b7f/fm4rvnkg8f7kz21j82zf6218zauqgbgg.jpg https://miningshop.ru/upload/iblock/4ff/if99nwequehdyox1fqyaiiq7u11x1299.jpg https://miningshop.ru/upload/iblock/3f5/7af7c3v0q5cc9ghhb4b9xorq4fkpeotq.jpg https://miningshop.ru/upload/iblock/c59/190zxb6omq62963urfbedtbnk6otono3.jpg https://miningshop.ru/upload/iblock/ae6/0xr3a28xfqplveiqnhvi8jib5970civx.jpg https://miningshop.ru/upload/iblock/1b5/rp2l6sujnruz8z7hfr1rvj901macryed.png;mirror/upload/resize_cache/iblock/526/400_400_140cd750bba9870f18aada2478b24840a/0d8di0j54sp5ezdsxhubxnuu5v1o8sfm.jpg mirror/upload/resize_cache/iblock/b7f/400_400_140cd750bba9870f18aada2478b24840a/fm4rvnkg8f7kz21j82zf6218zauqgbgg.jpg mirror/upload/resize_cache/iblock/4ff/400_400_140cd750bba9870f18aada2478b24840a/if99nwequehdyox1fqyaiiq7u11x1299.jpg mirror/upload/resize_cache/iblock/3f5/400_400_140cd750bba9870f18aada2478b24840a/7af7c3v0q5cc9ghhb4b9xorq4fkpeotq.jpg;2192;8265;;;;;8265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Материнская плата BTC B250+ для майнера BTC, 12 USB 3,0;Каталог / Комплектующие;3200.0;InStock;7779;2024-03-05;https://miningshop.ru/catalog/komplektuyushchie/materinskaya_plata_btc_b250_dlya_maynera_btc_12_usb_3_0_dlya_pci_e_x1_oem/;https://miningshop.ru/upload/iblock/5b5/6z5elbcdsalf5kuu8kpil0dkmhqaso8n.jpg https://miningshop.ru/upload/iblock/870/g5znlzai34huzpbsomch3e756qmqshko.jpg https://miningshop.ru/upload/iblock/192/8ikccnhv2pd65pb498fyx7ze1xnorgyc.jpg https://miningshop.ru/upload/iblock/240/3f7d6aj19x77spos02lepaxsscw5qo42.jpg https://miningshop.ru/upload/iblock/053/0u59xpupilepyn5wplp6ycf09qqrfxjj.jpg https://miningshop.ru/upload/iblock/9eb/wluc1m363d52kabpif6xrau5pgpt1man.jpg;mirror/upload/iblock/5b5/6z5elbcdsalf5kuu8kpil0dkmhqaso8n.jpg mirror/upload/resize_cache/iblock/870/400_400_140cd750bba9870f18aada2478b24840a/g5znlzai34huzpbsomch3e756qmqshko.jpg mirror/upload/iblock/192/8ikccnhv2pd65pb498fyx7ze1xnorgyc.jpg mirror/upload/resize_cache/iblock/240/400_400_140cd750bba9870f18aada2478b24840a/3f7d6aj19x77spos02lepaxsscw5qo42.jpg mirror/upload/resize_cache/iblock/053/400_400_140cd750bba9870f18aada2478b24840a/0u59xpupilepyn5wplp6ycf09qqrfxjj.jpg mirror/upload/resize_cache/iblock/9eb/400_400_140cd750bba9870f18aada2478b24840a/wluc1m363d52kabpif6xrau5pgpt1man.jpg;2653;7779;;;;;7779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Материнская плата ESONIC B250-BTC-Gladiator;Каталог / Комплектующие;6900.0;OutOfStock;7033;2023-06-26;https://miningshop.ru/catalog/komplektuyushchie/materinskaya_plata_esonic_b250_btc_gladiator/;https://miningshop.ru/upload/iblock/3c5/nb8y1d1w4rwnibsygsro8vhe3s42hzgm.png https://miningshop.ru/upload/iblock/cfa/ze1n61sfytz3tqchr1rmwnrgln9c079d.png https://miningshop.ru/upload/iblock/896/wuwj6vr6eo1q6vxqf9xu599k8hcdh64r.png https://miningshop.ru/upload/iblock/9be/62xu748p8k9e41w89rubmtnrwixa1kh9.png https://miningshop.ru/upload/iblock/f81/di4i0xj5wpp32oeovy52cwmf7r3w4es6.png;mirror/upload/resize_cache/iblock/cfa/400_400_140cd750bba9870f18aada2478b24840a/ze1n61sfytz3tqchr1rmwnrgln9c079d.png mirror/upload/resize_cache/iblock/896/400_400_140cd750bba9870f18aada2478b24840a/wuwj6vr6eo1q6vxqf9xu599k8hcdh64r.png mirror/upload/resize_cache/iblock/9be/400_400_140cd750bba9870f18aada2478b24840a/62xu748p8k9e41w89rubmtnrwixa1kh9.png mirror/upload/resize_cache/iblock/f81/400_400_140cd750bba9870f18aada2478b24840a/di4i0xj5wpp32oeovy52cwmf7r3w4es6.png;1187;7033;;;;;7033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
